fHI	fHeI	fHeII	z	T(K)
0.1	0.1	0.9	10	100
Photon Energy	f_ion	f_heat	f_exc	n_Lya	n_{ion,HI}	n_{ion,HeI}	n_{ion,HeII}	Shull heating
2878.46	0.00632815	0.989534	0.00413813	0.94408	0.791669	0.123811	0.0810072	0.991201
3166.3	0.00641654	0.989431	0.00415291	1.03809	0.865979	0.141412	0.0931081	0.991194
3482.93	0.0065975	0.98916	0.00424314	1.1616	0.983687	0.162014	0.103309	0.991189
3831.22	0.0066088	0.989053	0.0043388	1.31232	1.0837	0.183116	0.11181	0.991183
4214.35	0.00686459	0.988826	0.00430974	1.44003	1.22261	0.210418	0.131111	0.991178
4635.78	0.00692679	0.988707	0.00436732	1.60304	1.33602	0.233721	0.150713	0.991173
5099.36	0.00713959	0.988327	0.00453449	1.82996	1.51933	0.261723	0.171215	0.991169
5609.3	0.00727431	0.988205	0.00452146	2.01798	1.68175	0.296726	0.195617	0.991165
6170.23	0.00738357	0.987954	0.00466299	2.2811	1.86997	0.34353	0.21482	0.991161
6787.25	0.00739595	0.987897	0.00470746	2.53013	2.07249	0.366034	0.239321	0.991157
7465.97	0.00753297	0.98769	0.00477788	2.83915	2.31461	0.427237	0.262224	0.991154
8212.57	0.0076885	0.987511	0.0048007	3.12398	2.60233	0.484643	0.291226	0.991151
9033.83	0.00778611	0.9873	0.00491412	3.51401	2.88876	0.540148	0.326829	0.991148
9937.21	0.00786323	0.987141	0.00499661	3.93615	3.17759	0.606954	0.367833	0.991145
